prompt,image_file
painting of King Henry VIII carrying an umbrella,images/0/custom_0_0.png
Fox Mulder and a chinchilla walking down a road in the style of an old fashioned photograph,images/0/custom_1_0.png
photo of a gas burner by a soft pretzel,images/0/custom_2_0.png
photo of Shyster standing street lights on at night,images/0/custom_3_0.png
cute young man eating a plant over a fence in the style of an old fashioned photograph,images/0/custom_5_0.png
Krusty the Clown with a cutter playing in sand in the style of a vector drawing,images/0/custom_6_0.png
Judge Joe Dredd doing a fashion show at a town,images/0/custom_7_0.png
"man standing in batters box, while a pitcher pitches in the style of a 3D render",images/0/custom_8_0.png
elastic old man saying something,images/0/custom_9_0.png
photo of a frightening father throwing a white Frisbee in a factory,images/0/custom_10_0.png
Eddard Stark selling fresh fruits and vegetables,images/0/custom_11_0.png
bumpy clock with a cyprinodont,images/0/custom_12_0.png
tenement in a cabin in the style of an installation art piece,images/0/custom_13_0.png
green wild apple in a village in the style of a claymation figure,images/0/custom_14_0.png
group of daring boys sitting next to a very tall building on a spaceship in the style of a DSLR photograph,images/0/custom_15_0.png
a barbershop near an umbrella by a train in the style of a Rembrandt painting,images/0/custom_17_0.png
dangerous Riesling at a bar,images/0/custom_18_0.png
four average young men tilting around a curve in the style of a fisheye lens photograph,images/0/custom_19_0.png
drawing of a hoopoe leaning on a laptop at a big city,images/0/custom_21_0.png
crayon drawing of the Tower Bridge,images/0/custom_22_0.png
an imaginary Unknown Soldier,images/0/custom_23_0.png
seahorse walking in the woods with a pair of skis in the style of a classic photograph,images/0/custom_24_0.png
Pianist nearby a English foxhound flying in the sky,images/0/custom_25_0.png
masculine teddy bear next to a hotchpotch,images/0/custom_27_0.png
flawed mother preparing food on a stove,images/0/custom_30_0.png
painting of an enraged birdhouse downtown,images/0/custom_31_0.png
lovely digital art of a jaboticaba,images/0/custom_32_0.png
grandiose bottle,images/0/custom_33_0.png
pass with a department store standing behind a fence on a motorcycle in the style of a Rubens painting,images/0/custom_35_0.png
candid cutworm and also a bur marigold in the style of a line drawing,images/0/custom_36_0.png
redheaded woodpecker with an organ-grinder by a bus,images/0/custom_37_0.png
superb steel drum,images/0/custom_38_0.png
painting of Jimmy Carter leaning on a boar,images/0/custom_40_0.png
painting of a scary man holding a green lacewing,images/0/custom_41_0.png
